Vienna,Austria,AUT,2400000,1040261752,48.200001,16.366600
Innsbruck,Austria,AUT,155214,1040038924,47.280399,11.410000
Eisenstadt,Austria,AUT,13165,1040751740,47.833302,16.533300
Graz,Austria,AUT,263234,1040184559,47.077801,15.410000
